name,id,duration,three_race_duration,help_label,racetrack_2,racetrack_3,lap_2,lap_3,lap_4,lap_5,help_2,help_3,experience_2,experience_3,race_number_2,race_number_3,lap
SS ID13,5,100.25,1211.8899999999999,With Driving Coach,False,True,False,False,False,False,True,False,False,False,False,False,1
SS ID13,5,91.99,1211.8899999999999,With Driving Coach,False,True,True,False,False,False,True,False,False,False,False,False,2
SS ID13,5,83.75,1211.8899999999999,With Driving Coach,False,True,False,True,False,False,True,False,False,False,False,False,3
SS ID13,5,102.53,1211.8899999999999,With Driving Coach,False,True,False,False,True,False,True,False,False,False,False,False,4
SS ID13,5,108.59,1211.8899999999999,With Driving Coach,False,True,False,False,False,True,True,False,False,False,False,False,5
SS ID13,5,76.21,1211.8899999999999,With Ideal Driving Line,False,False,False,False,False,False,False,True,False,False,True,False,1
SS ID13,5,61.1,1211.8899999999999,With Ideal Driving Line,False,False,True,False,False,False,False,True,False,False,True,False,2
SS ID13,5,59.02,1211.8899999999999,With Ideal Driving Line,False,False,False,True,False,False,False,True,False,False,True,False,3
SS ID13,5,79.07,1211.8899999999999,With Ideal Driving Line,False,False,False,False,True,False,False,True,False,False,True,False,4
SS ID13,5,56.8,1211.8899999999999,With Ideal Driving Line,False,False,False,False,False,True,False,True,False,False,True,False,5
SS ID13,5,81.1,1211.8899999999999,No Assistance,True,False,False,False,False,False,False,False,False,False,False,True,1
SS ID13,5,79.55,1211.8899999999999,No Assistance,True,False,True,False,False,False,False,False,False,False,False,True,2
SS ID13,5,75.52,1211.8899999999999,No Assistance,True,False,False,True,False,False,False,False,False,False,False,True,3
SS ID13,5,74.76,1211.8899999999999,No Assistance,True,False,False,False,True,False,False,False,False,False,False,True,4
SS ID13,5,81.65,1211.8899999999999,No Assistance,True,False,False,False,False,True,False,False,False,False,False,True,5
LM ID21,6,69.36,1139.02,With Ideal Driving Line,False,False,False,False,False,False,False,True,False,False,False,False,1
LM ID21,6,55.63,1139.02,With Ideal Driving Line,False,False,True,False,False,False,False,True,False,False,False,False,2
LM ID21,6,64.57,1139.02,With Ideal Driving Line,False,False,False,True,False,False,False,True,False,False,False,False,3
LM ID21,6,51.03,1139.02,With Ideal Driving Line,False,False,False,False,True,False,False,True,False,False,False,False,4
LM ID21,6,55.76,1139.02,With Ideal Driving Line,False,False,False,False,False,True,False,True,False,False,False,False,5
LM ID21,6,85.0,1139.02,No Assistance,True,False,False,False,False,False,False,False,False,False,True,False,1
LM ID21,6,94.19,1139.02,No Assistance,True,False,True,False,False,False,False,False,False,False,True,False,2
LM ID21,6,84.0,1139.02,No Assistance,True,False,False,True,False,False,False,False,False,False,True,False,3
LM ID21,6,92.41,1139.02,No Assistance,True,False,False,False,True,False,False,False,False,False,True,False,4
LM ID21,6,66.19,1139.02,No Assistance,True,False,False,False,False,True,False,False,False,False,True,False,5
LM ID21,6,74.36,1139.02,With Driving Coach,False,True,False,False,False,False,True,False,False,False,False,True,1
LM ID21,6,93.0,1139.02,With Driving Coach,False,True,True,False,False,False,True,False,False,False,False,True,2
LM ID21,6,87.63,1139.02,With Driving Coach,False,True,False,True,False,False,True,False,False,False,False,True,3
LM ID21,6,92.89,1139.02,With Driving Coach,False,True,False,False,True,False,True,False,False,False,False,True,4
LM ID21,6,73.0,1139.02,With Driving Coach,False,True,False,False,False,True,True,False,False,False,False,True,5
VG ID23,7,121.86,1534.25,No Assistance,False,True,False,False,False,False,False,False,False,False,False,False,1
VG ID23,7,123.42,1534.25,No Assistance,False,True,True,False,False,False,False,False,False,False,False,False,2
VG ID23,7,129.37,1534.25,No Assistance,False,True,False,True,False,False,False,False,False,False,False,False,3
VG ID23,7,104.87,1534.25,No Assistance,False,True,False,False,True,False,False,False,False,False,False,False,4
VG ID23,7,110.16,1534.25,No Assistance,False,True,False,False,False,True,False,False,False,False,False,False,5
VG ID23,7,76.38,1534.25,With Driving Coach,False,False,False,False,False,False,True,False,False,False,True,False,1
VG ID23,7,86.87,1534.25,With Driving Coach,False,False,True,False,False,False,True,False,False,False,True,False,2
VG ID23,7,95.33,1534.25,With Driving Coach,False,False,False,True,False,False,True,False,False,False,True,False,3
VG ID23,7,77.47,1534.25,With Driving Coach,False,False,False,False,True,False,True,False,False,False,True,False,4
VG ID23,7,83.89,1534.25,With Driving Coach,False,False,False,False,False,True,True,False,False,False,True,False,5
VG ID23,7,110.14,1534.25,With Ideal Driving Line,True,False,False,False,False,False,False,True,False,False,False,True,1
VG ID23,7,103.67,1534.25,With Ideal Driving Line,True,False,True,False,False,False,False,True,False,False,False,True,2
VG ID23,7,108.93,1534.25,With Ideal Driving Line,True,False,False,True,False,False,False,True,False,False,False,True,3
VG ID23,7,99.51,1534.25,With Ideal Driving Line,True,False,False,False,True,False,False,True,False,False,False,True,4
VG ID23,7,102.38,1534.25,With Ideal Driving Line,True,False,False,False,False,True,False,True,False,False,False,True,5
LW ID1,8,58.04,996.3,With Driving Coach,False,False,False,False,False,False,True,False,True,False,False,False,1
LW ID1,8,52.75,996.3,With Driving Coach,False,False,True,False,False,False,True,False,True,False,False,False,2
LW ID1,8,51.5,996.3,With Driving Coach,False,False,False,True,False,False,True,False,True,False,False,False,3
LW ID1,8,51.75,996.3,With Driving Coach,False,False,False,False,True,False,True,False,True,False,False,False,4
