name,id,racetrack,lap,help,experience,race_number,duration,three_race_duration
LW ID1,8,2,5,3,2,2,71.32,996.3
LW ID1,8,3,1,1,2,3,65.88,996.3
LW ID1,8,3,2,1,2,3,62.23,996.3
LW ID1,8,3,3,1,2,3,66.0,996.3
LW ID1,8,3,4,1,2,3,61.18,996.3
LW ID1,8,3,5,1,2,3,65.71,996.3
JS ID2,9,2,1,3,2,1,90.22,982.48
JS ID2,9,2,2,3,2,1,81.08,982.48
JS ID2,9,2,3,3,2,1,74.01,982.48
JS ID2,9,2,4,3,2,1,72.37,982.48
JS ID2,9,2,5,3,2,1,89.44,982.48
JS ID2,9,3,1,1,2,2,65.7,982.48
JS ID2,9,3,2,1,2,2,60.51,982.48
JS ID2,9,3,3,1,2,2,71.82,982.48
JS ID2,9,3,4,1,2,2,61.53,982.48
JS ID2,9,3,5,1,2,2,63.02,982.48
JS ID2,9,1,1,2,2,3,57.89,982.48
JS ID2,9,1,2,2,2,3,49.75,982.48
JS ID2,9,1,3,2,2,3,53.04,982.48
JS ID2,9,1,4,2,2,3,45.62,982.48
JS ID2,9,1,5,2,2,3,46.48,982.48
MH ID13,10,1,1,1,2,1,99.46,1329.34
MH ID13,10,1,2,1,2,1,68.0,1329.34
MH ID13,10,1,3,1,2,1,76.96,1329.34
MH ID13,10,1,4,1,2,1,70.72,1329.34
MH ID13,10,1,5,1,2,1,87.25,1329.34
MH ID13,10,2,1,2,2,2,93.01,1329.34
MH ID13,10,2,2,2,2,2,110.65,1329.34
MH ID13,10,2,3,2,2,2,93.11,1329.34
MH ID13,10,2,4,2,2,2,99.13,1329.34
MH ID13,10,2,5,2,2,2,87.89,1329.34
MH ID13,10,3,1,3,2,3,76.01,1329.34
MH ID13,10,3,2,3,2,3,111.12,1329.34
MH ID13,10,3,3,3,2,3,87.73,1329.34
MH ID13,10,3,4,3,2,3,73.52,1329.34
MH ID13,10,3,5,3,2,3,94.78,1329.34
