,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
0,0,8999.9951171875,0.000340938480803743,-0.0015488212229683995,-7.865823135944083e-05,-4.4310603698249906e-05,-2.7716167096514255e-05,-8.197152055799961e-05,1.3065707683563232,0.012199022807180882,0.012549446895718575,-5058.70068359375,178.8190460205078,-272.09796142578125,9.721596870804206e-05,-0.025955358520150185,-0.0002623272594064474
18,1822,8999.9951171875,8.732732567295898e-06,7.398397428914905e-05,-3.015270976902684e-06,-4.125109262531623e-05,1.078141622201656e-06,-8.344885281985626e-05,1.3065707683563232,0.012199022807180882,0.012549446895718575,-5058.70068359375,178.81903076171875,-272.09796142578125,9.309418237535283e-05,-0.025955358520150185,-0.0002623272594064474
36,1964,8999.9951171875,-0.004141294397413731,0.0028389464132487774,0.001095889718271792,0.002078797435387969,-0.0010852367850020528,-9.91090782918036e-05,1.3065707683563232,0.012180834077298641,0.012263360433280468,-5058.70068359375,178.8190155029297,-272.0979919433594,0.002347117057070136,-0.025955358520150185,-0.0002623272594064474
54,2109,8999.9951171875,-0.012794074602425098,0.018151674419641495,0.0033049797639250755,3.594974987208843e-05,0.004660879727452993,-0.0012334133498370647,1.3065589666366577,0.011923138983547688,0.011805113404989243,-5058.70068359375,178.81927490234375,-272.0981750488281,0.004821451846510172,32097.384765625,212.46473693847656
72,2246,8999.9951171875,0.07883977890014648,-0.01059904508292675,0.12235773354768753,0.0014563603326678276,0.0019145359983667731,-0.0024927209597080946,1.3065180778503418,0.011484830640256405,0.01125757209956646,-5058.70166015625,178.81971740722656,-272.09832763671875,0.003464114386588335,266693.75,607.583740234375
90,2384,8999.9951171875,1.7071218490600586,-0.09151042997837067,9.379552841186523,0.22179585695266724,-0.004193373955786228,1.121751308441162,1.3131989240646362,0.00938967801630497,0.011350173503160477,-5058.6494140625,178.819580078125,-272.0963134765625,1.1434757709503174,449765.4375,785.5117797851562
108,2517,8999.9951171875,2.499581813812256,0.24868819117546082,13.202093124389648,0.5058274269104004,0.008886158466339111,2.7637455463409424,1.3422422409057617,0.00607538316398859,0.011759500950574875,-5058.390625,178.8173370361328,-272.08343505859375,2.809666872024536,308566.90625,503.9270935058594
126,2647,8999.9951171875,2.2978532314300537,-0.035206180065870285,11.617437362670898,0.6955677270889282,0.011925583705306053,4.426984786987305,1.3920568227767944,0.004169869236648083,0.01334029994904995,-5057.9150390625,178.81866455078125,-272.06719970703125,4.481311321258545,-36565.44921875,-87.29927825927734
144,2781,8999.9951171875,3.9460461139678955,0.09304934740066528,6.9764604568481445,0.7933675646781921,0.03880972042679787,5.503593444824219,1.4677821397781372,0.003871167078614235,0.014509729109704494,-5057.24365234375,178.821533203125,-272.06414794921875,5.5606184005737305,-6694.890625,-31.32411766052246
162,2912,8999.9951171875,6.291566848754883,0.04263292998075485,-2.8898937702178955,1.060489296913147,0.05391809344291687,5.1625165939331055,1.5731115341186523,0.0058007691986858845,0.015460455790162086,-5056.52880859375,178.8252410888672,-272.1474304199219,5.270589828491211,871.81787109375,4.745212078094482
