Name.2,ID.2,Strecke.1,Runde,Hilfe.1,Erfahrung.2,Unnamed: 19,Dauer
L,12,3,5,3,2,,
L,12,1,1,1,2,,
L,12,1,2,1,2,,
L,12,1,3,1,2,,
L,12,1,4,1,2,,
L,12,1,5,1,2,,
L,12,2,1,2,2,,
L,12,2,2,2,2,,
L,12,2,3,2,2,,
L,12,2,4,2,2,,
L,12,2,5,2,2,,
M,13,2,1,1,2,,
M,13,2,2,1,2,,
M,13,2,3,1,2,,
M,13,2,4,1,2,,
M,13,2,5,1,2,,
M,13,3,1,2,2,,
M,13,3,2,2,2,,
M,13,3,3,2,2,,
M,13,3,4,2,2,,
M,13,3,5,2,2,,
M,13,1,1,3,2,,
M,13,1,2,3,2,,
M,13,1,3,3,2,,
M,13,1,4,3,2,,
M,13,1,5,3,2,,
O,14,3,1,2,2,,
O,14,3,2,2,2,,
O,14,3,3,2,2,,
O,14,3,4,2,2,,
O,14,3,5,2,2,,
O,14,1,1,3,2,,
O,14,1,2,3,2,,
O,14,1,3,3,2,,
O,14,1,4,3,2,,
O,14,1,5,3,2,,
O,14,2,1,1,2,,
O,14,2,2,1,2,,
O,14,2,3,1,2,,
O,14,2,4,1,2,,
O,14,2,5,1,2,,
NB ID3,15,1,1,3,3,,50.74
NB ID3,15,1,2,3,3,,50.82
NB ID3,15,1,3,3,3,,49.66
NB ID3,15,1,4,3,3,,49.87
NB ID3,15,1,5,3,3,,45.18
NB ID3,15,2,1,1,3,,68.05
NB ID3,15,2,2,1,3,,60.38
NB ID3,15,2,3,1,3,,59.31
NB ID3,15,2,4,1,3,,65.85
NB ID3,15,2,5,1,3,,62.58
NB ID3,15,3,1,2,3,,74.59
NB ID3,15,3,2,2,3,,62.07
NB ID3,15,3,3,2,3,,60.93
NB ID3,15,3,4,2,3,,61.43
NB ID3,15,3,5,2,3,,64.3
AS ID6,16,3,1,1,3,,69.44
AS ID6,16,3,2,1,3,,59.19
AS ID6,16,3,3,1,3,,60.08
AS ID6,16,3,4,1,3,,59.64
AS ID6,16,3,5,1,3,,60.08
AS ID6,16,1,1,2,3,,47.79
AS ID6,16,1,2,2,3,,43.56
AS ID6,16,1,3,2,3,,44.25
AS ID6,16,1,4,2,3,,43.61
AS ID6,16,1,5,2,3,,44.65
AS ID6,16,2,1,3,3,,
AS ID6,16,2,2,3,3,,
AS ID6,16,2,3,3,3,,
AS ID6,16,2,4,3,3,,
AS ID6,16,2,5,3,3,,
FW,17,1,1,2,3,,
FW,17,1,2,2,3,,
FW,17,1,3,2,3,,
FW,17,1,4,2,3,,
FW,17,1,5,2,3,,
FW,17,2,1,3,3,,
FW,17,2,2,3,3,,
FW,17,2,3,3,3,,
FW,17,2,4,3,3,,
FW,17,2,5,3,3,,
FW,17,3,1,1,3,,
FW,17,3,2,1,3,,
FW,17,3,3,1,3,,
FW,17,3,4,1,3,,
FW,17,3,5,1,3,,
IA,18,2,1,3,3,,
IA,18,2,2,3,3,,
IA,18,2,3,3,3,,
IA,18,2,4,3,3,,
IA,18,2,5,3,3,,
IA,18,3,1,1,3,,
IA,18,3,2,1,3,,
IA,18,3,3,1,3,,
IA,18,3,4,1,3,,
IA,18,3,5,1,3,,
IA,18,1,1,2,3,,
IA,18,1,2,2,3,,
IA,18,1,3,2,3,,
IA,18,1,4,2,3,,
IA,18,1,5,2,3,,
U,19,1,1,1,3,,
U,19,1,2,1,3,,
U,19,1,3,1,3,,
U,19,1,4,1,3,,
U,19,1,5,1,3,,
U,19,2,1,2,3,,
U,19,2,2,2,3,,
U,19,2,3,2,3,,
U,19,2,4,2,3,,
U,19,2,5,2,3,,
U,19,3,1,3,3,,
U,19,3,2,3,3,,
U,19,3,3,3,3,,
U,19,3,4,3,3,,
U,19,3,5,3,3,,
V,20,2,1,2,3,,
V,20,2,2,2,3,,
V,20,2,3,2,3,,
V,20,2,4,2,3,,
V,20,2,5,2,3,,
V,20,3,1,3,3,,
V,20,3,2,3,3,,
V,20,3,3,3,3,,
V,20,3,4,3,3,,
V,20,3,5,3,3,,
V,20,1,1,1,3,,
V,20,1,2,1,3,,
V,20,1,3,1,3,,
V,20,1,4,1,3,,
V,20,1,5,1,3,,
W,21,2,1,3,3,,
W,21,2,2,3,3,,
W,21,2,3,3,3,,
W,21,2,4,3,3,,
W,21,2,5,3,3,,
W,21,3,1,1,3,,
W,21,3,2,1,3,,
W,21,3,3,1,3,,
W,21,3,4,1,3,,
W,21,3,5,1,3,,
W,21,1,1,2,3,,
W,21,1,2,2,3,,
W,21,1,3,2,3,,
W,21,1,4,2,3,,
W,21,1,5,2,3,,
