'
timestamp in s': 17.501, 9.068, 'acceleration_x in m/s²': 10, 14, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -1, -2, 'yaw in degrees': -1.51, -1.57, 'position_x in m': 675, 678, 'position_y in m': 281, 281, 'position_z in m': 2435, 2443, 'speed in km/h': 91, 166, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 18.564, 9.705, 'acceleration_x in m/s²': 1, 21, 'acceleration_y in m/s²': -1, 0, 'acceleration_z in m/s²': 0, 0, 'yaw in degrees': -1.33, -1.11, 'position_x in m': 648, 653, 'position_y in m': 281, 281, 'position_z in m': 2439, 2447, 'speed in km/h': 89, 133, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 19.634, 10.233, 'acceleration_x in m/s²': 18, 20, 'acceleration_y in m/s²': 2, 0, 'acceleration_z in m/s²': 3, 3, 'yaw in degrees': -0.41, -0.83, 'position_x in m': 631, 635, 'position_y in m': 281, 281, 'position_z in m': 2453, 2456, 'speed in km/h': 75, 137, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 20.699, 10.807, 'acceleration_x in m/s²': -10, 8, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': 1, 10, 'yaw in degrees': -0.69, -0.67, 'position_x in m': 620, 619, 'position_y in m': 281, 281, 'position_z in m': 2473, 2472, 'speed in km/h': 79, 149, 'lap_number': 0, 0, 'segment': 0, '
timestamp in s': 21.74, 11.389, 'acceleration_x in m/s²': 1, 7, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': 4, -4, 'yaw in degrees': -0.72, -0.58, 'position_x in m': 603, 604, 'position_y in m': 280, 280, 'position_z in m': 2491, 2492, 'speed in km/h': 92, 160, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 22.775, 12.092, 'acceleration_x in m/s²': 17, 19, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -1, -2, 'yaw in degrees': -0.3, -0.27, 'position_x in m': 588, 591, 'position_y in m': 280, 280, 'position_z in m': 2514, 2516, 'speed in km/h': 98, 130, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 23.778, 12.771, 'acceleration_x in m/s²': 7, 20, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -2, -1, 'yaw in degrees': 0.11, 0.16, 'position_x in m': 586, 588, 'position_y in m': 280, 280, 'position_z in m': 2540, 2539, 'speed in km/h': 91, 119, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 24.79, 13.501, 'acceleration_x in m/s²': 9, 18, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 0, 4, 'yaw in degrees': 0.58, 0.53, 'position_x in m': 595, 595, 'position_y in m': 280, 280, 'position_z in m': 2563, 2563, 'speed in km/h': 84, 131, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 25.777, 14.128, 'acceleration_x in m/s²': 11, 21, 'acceleration_y in m/s²': 1, 2, 'acceleration_z in m/s²': 4, 2, 'yaw in degrees': 0.97, 0.84, 'position_x in m': 612, 609, 'position_y in m': 280, 280, 'position_z in m': 2580, 2582, 'speed in km/h': 97, 128, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 26.765, 14.925, 'acceleration_x in m/s²': 5, 13, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 3, 12, 'yaw in degrees': 1.15, 1.21, 'position_x in m': 637, 635, 'position_y in m': 280, 280, 'position_z in m': 2594, 2598, 'speed in km/h': 110, 155, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 27.763, 15.612, 'acceleration_x in m/s²': 0, -8, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 2, 5, 'yaw in degrees': 1.19, 1.17, 'position_x in m': 667, 665, 'position_y in m': 279, 279, 'position_z in m': 2607, 2609, 'speed in km/h': 124, 179, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 28.775, 16.431, 'acceleration_x in m/s²': -19, -9, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -1, -5, 'yaw in degrees': 0.79, 0.93, 'position_x in m': 698, 697, 'position_y in m': 279, 279, 'position_z in m': 2623, 2625, 'speed in km/h': 120, 142, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 29.774, 17.301, 'acceleration_x in m/s²': -10, -20, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': -1, 4, 'yaw in degrees': 0.39, 0.54, 'position_x in m': 715, 719, 'position_y in m': 279, 279, 'position_z in m': 2649, 2645, 'speed in km/h': 112, 122, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 30.77, 18.311, 'acceleration_x in m/s²': 0, -14, 'acceleration_y in m/s²': 0, 2, 'acceleration_z in m/s²': 9, 13, 'yaw in degrees': 0.13, -0.01, 'position_x in m': 722, 730, 'position_y in m': 279, 279, 'position_z in m': 2679, 2676, 'speed in km/h': 124, 125, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 31.789, 19.378, 'acceleration_x in m/s²': -21, -22, 'acceleration_y in m/s²': 1, 2, 'acceleration_z in m/s²': -2, 0, 'yaw in degrees': -0.24, -0.64, 'position_x in m': 724, 725, 'position_y in m': 278, 278, 'position_z in m': 2714, 2715, 'speed in km/h': 114, 131, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 32.803, 20.243, 'acceleration_x in m/s²': -13, -15, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 7, 9, 'yaw in degrees': -1.1, -0.89, 'position_x in m': 711, 708, 'position_y in m': 278, 278, 'position_z in m': 2740, 2739, 'speed in km/h': 98, 126, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 33.831, 20.883, 'acceleration_x in m/s²': 3, -6, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 3, 12, 'yaw in degrees': -0.82, -0.91, 'position_x in m': 690, 689, 'position_y in m': 278, 278, 'position_z in m': 2758, 2755, 'speed in km/h': 97, 155, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 34.857, 21.492, 'acceleration_x in m/s²': -5, -14, 'acceleration_y in m/s²': 0, -1, 'acceleration_z in m/s²': 12, -2, 'yaw in degrees': -1.57, -1.18, 'position_x in m': 668, 667, 'position_y in m': 278, 277, 'position_z in m': 2772, 2769, 'speed in km/h': 97, 153, 'lap_number': 0, 0, 'segment': 1, '
timestamp in s': 35.845, 22.236, 'acceleration_x in m/s²': 12, 2, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': 9, 4, 'yaw in degrees': -1.39, -1.35, 'position_x in m': 636, 635, 'position_y in m': 277, 277, 'position_z in m': 2777, 2778, 'speed in km/h': 138, 170, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 36.842, 22.919, 'acceleration_x in m/s²': 7, 9, 'acceleration_y in m/s²': 0, -2, 'acceleration_z in m/s²': 11, 7, 'yaw in degrees': -0.69, -1.13, 'position_x in m': 603, 604, 'position_y in m': 276, 276, 'position_z in m': 2783, 2789, 'speed in km/h': 120, 187, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 37.829, 23.556, 'acceleration_x in m/s²': -3, -1, 'acceleration_y in m/s²': -2, -4, 'acceleration_z in m/s²': 0, 10, 'yaw in degrees': -1.13, -1.21, 'position_x in m': 571, 572, 'position_y in m': 275, 275, 'position_z in m': 2799, 2803, 'speed in km/h': 140, 209, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 38.821, 24.211, 'acceleration_x in m/s²': 17, 16, 'acceleration_y in m/s²': 0, 0, 'acceleration_z in m/s²': -2, -12, 'yaw in degrees': -1.04, -0.96, 'position_x in m': 539, 541, 'position_y in m': 272, 271, 'position_z in m': 2813, 2817, 'speed in km/h': 115, 163, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 39.819, 24.963, 'acceleration_x in m/s²': 5, 8, 'acceleration_y in m/s²': 0, 1, 'acceleration_z in m/s²': -4, -24, 'yaw in degrees': -0.26, -0.63, 'position_x in m': 518, 518, 'position_y in m': 268, 268, 'position_z in m': 2832, 2832, 'speed in km/h': 87, 105, 'lap_number': 0, 0, 'segment': 2, '
timestamp in s': 40.813, 25.997, 'acceleration_x in m/s²': -15, -19, 'acceleration_y in m/s²': 0, 2, 'acceleration_z in m/s²': 4, 0, 'yaw in degrees': -1.37, -1.26, 'position_x in m': 502, 501, 'position_y in m': 267, 267, 'position_z in m': 2845, 2844, 'speed in km/h': 63, 48, 'lap_number': 0, 0, 'segment': 2, '
